id,text,exact_label,label,tokens,lemmas,upos
2441850,yes because our NHS is ruined now,Background offensive,1,yes because our NHS is ruined now,yes because we NHS be ruin now,INTJ SCONJ PRON NOUN AUX VERB ADV
2441865,Yes for the most umpteenth time. Why is it that the Daily Mail actually supports the Conservatives when they should know that they are not going to do anything?,Background offensive,1,Yes for the most umpteenth time . Why is it that the Daily Mail actually supports the Conservatives when they should know that they are not going to do anything ?,yes for the most umpteenth time . why be it that the daily mail actually support the Conservatives when they should know that they be not go to do anything ?,INTJ ADP DET ADV ADJ NOUN PUNCT ADV AUX PRON SCONJ DET ADJ NOUN ADV VERB DET PROPN ADV PRON AUX VERB SCONJ PRON AUX PART VERB PART VERB PRON PUNCT
2441881,of course they do!,Acceptable speech,0,of course they do !,of course they do !,ADV ADV PRON VERB PUNCT
2441898,"of course they should, the sooner the better. then perhaps people born in this country who are on the housing list won't keep being pushed to the back of the queue by all the immigrants.",Background offensive,1,"of course they should , the sooner the better . then perhaps people born in this country who are on the housing list wo n't keep being pushed to the back of the queue by all the immigrants .","of course they should , the sooner the better . then perhaps people bear in this country who be on the housing list will not keep be push to the back of the queue by all the immigrant .",ADV ADV PRON AUX PUNCT DET ADV DET ADJ PUNCT ADV ADV NOUN VERB ADP DET NOUN PRON AUX ADP DET NOUN NOUN AUX PART VERB AUX VERB ADP DET NOUN ADP DET NOUN ADP DET DET NOUN PUNCT
2442141,out of the eu we go and see the problem sort itself out.,Acceptable speech,0,out of the eu we go and see the problem sort itself out .,out of the eu we go and see the problem sort itself out .,ADP ADP DET NOUN PRON VERB CCONJ VERB DET NOUN ADV PRON ADP PUNCT
2442153,'FULL' and skint,Acceptable speech,0,' FULL ' and skint,' full ' and skint,PUNCT ADJ PUNCT CCONJ NOUN
2444623,"can't really see how the UK can afford to take any more in..both the NHS and education systems are on their knees! And as for it's ecomony.....well, that's another story!",Background offensive,1,"ca n't really see how the UK can afford to take any more in .. both the NHS and education systems are on their knees ! And as for it 's ecomony ..... well , that 's another story !","can not really see how the UK can afford to take any more in .. both the NHS and education system be on they knee ! and as for it be ecomony ..... well , that be another story !",AUX PART ADV VERB ADV DET PROPN AUX VERB PART VERB ADV ADV ADV PUNCT CCONJ DET NOUN CCONJ NOUN NOUN AUX ADP PRON NOUN PUNCT CCONJ ADP ADP PRON AUX ADJ PUNCT INTJ PUNCT PRON AUX DET NOUN PUNCT
2445131,"It's not only NHS and education, it's things that people/government do not think of such as roads, water supply, electricity, extra pollution, crime, and also the dilution of our own culture and identity.",Background offensive,1,"It 's not only NHS and education , it 's things that people / government do not think of such as roads , water supply , electricity , extra pollution , crime , and also the dilution of our own culture and identity .","it be not only NHS and education , it be thing that people / government do not think of such as road , water supply , electricity , extra pollution , crime , and also the dilution of we own culture and identity .",PRON AUX PART ADV NOUN CCONJ NOUN PUNCT PRON AUX NOUN PRON NOUN PUNCT NOUN AUX PART VERB ADP ADJ ADP NOUN PUNCT NOUN NOUN PUNCT NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT CCONJ ADV DET NOUN ADP PRON ADJ NOUN CCONJ NOUN PUNCT
2445450,"This country is a joke,,, need to get out of the eu, ",Other offensive,1,"This country is a joke , , , need to get out of the eu ,","this country be a joke , , , need to get out of the eu ,",DET NOUN AUX DET NOUN PUNCT PUNCT PUNCT VERB PART VERB ADP ADP DET NOUN PUNCT
3862263,Wouldn't it be great to live in a world without borders?,Acceptable speech,0,Would n't it be great to live in a world without borders ?,would not it be great to live in a world without border ?,AUX PART PRON AUX ADJ PART VERB ADP DET NOUN ADP NOUN PUNCT
