id,text,exact_label,label,tokens,lemmas,upos
893,yes.,Acceptable speech,0,yes .,yes .,INTJ PUNCT
895,Surely a marriage is a ceremony involving two people who love each other. Whoever the people are.,Acceptable speech,0,Surely a marriage is a ceremony involving two people who love each other . Whoever the people are .,surely a marriage be a ceremony involve two people who love each other . whoever the people be .,ADV DET NOUN AUX DET NOUN VERB NUM NOUN PRON VERB DET ADJ PUNCT PRON DET NOUN AUX PUNCT
896,"We can't help who we fall inlove with, let them do what they want, afterall i thought discrimination and prejudice was against the law??",Acceptable speech,0,"We ca n't help who we fall inlove with , let them do what they want , afterall i thought discrimination and prejudice was against the law ??","we can not help who we fall inlove with , let they do what they want , afterall i think discrimination and prejudice be against the law ??",PRON AUX PART VERB PRON PRON VERB ADJ ADP PUNCT VERB PRON VERB PRON PRON VERB PUNCT ADV PRON VERB NOUN CCONJ NOUN AUX ADP DET NOUN PUNCT
898,Yes...when they will be able to give birth.,Background offensive,1,Yes ... when they will be able to give birth .,yes ... when they will be able to give birth .,INTJ PUNCT ADV PRON AUX AUX ADJ PART VERB NOUN PUNCT
902,"Society began with Adam and Eve. Nothing more, nothing less.",Background offensive,1,"Society began with Adam and Eve . Nothing more , nothing less .","Society begin with Adam and Eve . nothing more , nothing less .",NOUN VERB ADP PROPN CCONJ PROPN PUNCT PRON ADJ PUNCT PRON ADJ PUNCT
905,Let them do what they want. But why advertise them and promote it as a NORMAL thing to do?,Background offensive,1,Let them do what they want . But why advertise them and promote it as a NORMAL thing to do ?,let they do what they want . but why advertise they and promote it as a normal thing to do ?,VERB PRON VERB PRON PRON VERB PUNCT CCONJ ADV VERB PRON CCONJ VERB PRON ADP DET ADJ NOUN PART VERB PUNCT
908,No - easy!,Background offensive,1,No - easy !,no - easy !,ADV PUNCT ADJ PUNCT
915,"Marriage and love are not the same thing. Marriage and sex are not the same thing. Marriage and mutual contractual partnership are not the same thing. Marriage means literally the union of two sexes. So, there can't be a ""marriage"" between members of the same sex, whatever else may exist between them.",Background offensive,1,"Marriage and love are not the same thing . Marriage and sex are not the same thing . Marriage and mutual contractual partnership are not the same thing . Marriage means literally the union of two sexes . So , there ca n't be a "" marriage "" between members of the same sex , whatever else may exist between them .","marriage and love be not the same thing . marriage and sex be not the same thing . marriage and mutual contractual partnership be not the same thing . marriage mean literally the union of two sex . so , there can not be a "" marriage "" between member of the same sex , whatever else may exist between they .",NOUN CCONJ NOUN AUX PART DET ADJ NOUN PUNCT NOUN CCONJ NOUN AUX PART DET ADJ NOUN PUNCT NOUN CCONJ ADJ ADJ NOUN AUX PART DET ADJ NOUN PUNCT NOUN VERB ADV DET NOUN ADP NUM NOUN PUNCT ADV PUNCT PRON AUX PART AUX DET PUNCT NOUN PUNCT ADP NOUN ADP DET ADJ NOUN PUNCT PRON ADJ AUX VERB ADP PRON PUNCT
918,"It is possible for two people of the same sex to love each other, as long as they cause no harm to others or society, who is anyone else to judge?",Acceptable speech,0,"It is possible for two people of the same sex to love each other , as long as they cause no harm to others or society , who is anyone else to judge ?","it be possible for two people of the same sex to love each other , as long as they cause no harm to other or society , who be anyone else to judge ?",PRON AUX ADJ ADP NUM NOUN ADP DET ADJ NOUN PART VERB DET ADJ PUNCT ADV ADV SCONJ PRON VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX PRON ADJ PART VERB PUNCT
924,"God created man and woman, man and woman created law, law is what will protect them then let law be it.",Background offensive,1,"God created man and woman , man and woman created law , law is what will protect them then let law be it .","God create man and woman , man and woman create law , law be what will protect they then let law be it .",PROPN VERB NOUN CCONJ NOUN PUNCT NOUN CCONJ NOUN VERB NOUN PUNCT NOUN AUX PRON AUX VERB PRON ADV VERB NOUN AUX PRON PUNCT
934,law is man made....if you dont belive in god(ethis)then hell is await you remember the story of noah.....he take all animal of diffrent sex into his ark...so they can breed.....if animal know male and female...then if you merried same sex....you are the lowest than animal...heheheheh poor human retart homo.....,Background offensive,1,law is man made .... if you do nt belive in god ( ethis ) then hell is await you remember the story of noah ..... he take all animal of diffrent sex into his ark ... so they can breed ..... if animal know male and female ... then if you merried same sex .... you are the lowest than animal ... heheheheh poor human retart homo .....,law be man make .... if you do not belive in god ( ethis ) then hell be await you remember the story of noah ..... he take all animal of diffrent sex into he ark ... so they can breed ..... if animal know male and female ... then if you merried same sex .... you be the lowest than animal ... heheheheh poor human retart homo .....,NOUN AUX NOUN VERB PUNCT SCONJ PRON AUX PART VERB ADP PROPN PUNCT X PUNCT ADV NOUN AUX VERB PRON VERB DET NOUN ADP PROPN PUNCT PRON VERB DET NOUN ADP ADJ NOUN ADP PRON NOUN PUNCT SCONJ PRON AUX VERB PUNCT SCONJ NOUN VERB NOUN CCONJ NOUN PUNCT ADV SCONJ PRON VERB ADJ NOUN PUNCT PRON AUX DET ADJ ADP NOUN PUNCT ADV ADJ ADJ NOUN NOUN PUNCT
940,tht becoz your bible have many version......hahaha....,Acceptable speech,0,tht becoz your bible have many version ......hahaha ....,tht becoz you bible have many version ......hahaha ....,INTJ SCONJ PRON NOUN VERB ADJ NOUN PUNCT PUNCT
944,then...you are an animal too i guess...becoz you dont think like human.. yeah dogs literally hump everything becoz they dont think...animal dont think you dont think...hahahahahaa equal what...the SAME hahahahahh,Other offensive,1,then ... you are an animal too i guess ... becoz you do nt think like human.. yeah dogs literally hump everything becoz they do nt think ... animal do nt think you do nt think ... hahahahahaa equal what ... the SAME hahahahahh,then ... you be a animal too i guess ... becoz you do not think like human.. yeah dog literally hump everything becoz they do not think ... animal do not think you do not think ... hahahahahaa equal what ... the same hahahahahh,ADV PUNCT PRON AUX DET NOUN ADV PRON VERB PUNCT INTJ PRON AUX PART VERB ADP NOUN INTJ NOUN ADV VERB PRON SCONJ PRON AUX PART VERB PUNCT NOUN AUX PART VERB PRON AUX PART VERB PUNCT INTJ VERB PRON PUNCT DET ADJ NOUN
946,"and as for the bible..........well lets just say intelect is valued in society, why should YOU have more rights?",Acceptable speech,0,"and as for the bible .......... well lets just say intelect is valued in society , why should YOU have more rights ?","and as for the bible .......... well let just say intelect be value in society , why should you have more rights ?",CCONJ ADP ADP DET NOUN PUNCT INTJ NOUN ADV VERB PRON AUX VERB ADP NOUN PUNCT ADV AUX PRON VERB ADJ NOUN PUNCT
965,and you think im christian? reading bible?...hahahahahahha,Acceptable speech,0,and you think i m christian ? reading bible ?... hahahahahahha,and you think i be christian ? read bible ?... hahahahahahha,CCONJ PRON VERB PRON AUX ADJ PUNCT VERB NOUN PUNCT INTJ
984,"To the stupid people mentioning birth and only having the right for marriage if you're the ""correct"" gender, then what would you say to hermaphrodites? Idiots.",Other offensive,1,"To the stupid people mentioning birth and only having the right for marriage if you 're the "" correct "" gender , then what would you say to hermaphrodites ? Idiots .","to the stupid people mention birth and only have the right for marriage if you be the "" correct "" gender , then what would you say to hermaphrodite ? idiot .",ADP DET ADJ NOUN VERB NOUN CCONJ ADV VERB DET NOUN ADP NOUN SCONJ PRON AUX DET PUNCT ADJ PUNCT NOUN PUNCT ADV PRON AUX PRON VERB ADP NOUN PUNCT NOUN PUNCT
992,"Why not allow people to love each other, with independence of their sexes?",Acceptable speech,0,"Why not allow people to love each other , with independence of their sexes ?","why not allow people to love each other , with independence of they sex ?",ADV PART VERB NOUN PART VERB DET ADJ PUNCT ADP NOUN ADP PRON NOUN PUNCT
1069,Marriage = 2 adult people who choose to spend their lives together. Why the govt. cares at all about who we choose to spend out lives with still boggles me. The bible shouldn't have anything to do with it. Its a personal choice for each human to make. If you dont agree dont marry someone of the same sex. I dont like guns so I dont own one. I wont take away your rights if you dont take away mine.,Acceptable speech,0,Marriage = 2 adult people who choose to spend their lives together . Why the govt . cares at all about who we choose to spend out lives with still boggles me . The bible should n't have anything to do with it . It s a personal choice for each human to make . If you do nt agree do nt marry someone of the same sex . I do nt like guns so I do nt own one . I wo nt take away your rights if you do nt take away mine .,marriage = 2 adult people who choose to spend they life together . why the govt . care at all about who we choose to spend out life with still boggle I . the bible should not have anything to do with it . it be a personal choice for each human to make . if you do not agree do not marry someone of the same sex . I do not like gun so I do not own one . I will not take away you rights if you do not take away mine .,NOUN PUNCT NUM ADJ NOUN PRON VERB PART VERB PRON NOUN ADV PUNCT ADV DET NOUN PUNCT VERB ADV ADV SCONJ PRON PRON VERB PART VERB ADP NOUN ADP ADV VERB PRON PUNCT DET NOUN AUX PART VERB PRON PART VERB ADP PRON PUNCT PRON AUX DET ADJ NOUN SCONJ DET ADJ PART VERB PUNCT SCONJ PRON AUX PART VERB AUX PART VERB PRON ADP DET ADJ NOUN PUNCT PRON AUX PART VERB NOUN ADV PRON AUX PART VERB NUM PUNCT PRON AUX PART VERB ADP PRON NOUN SCONJ PRON AUX PART VERB ADP PRON PUNCT
1080,"And if people say how god intended us to only have sex with men and women as your preferance, Why are breasts used in the use of sex? They where primeraly designed for feading the babies, not sex. So don't go on about 'God' making marriage or sex only for Men and Women, Because its the same argument that would ensued years ago whilst people where doing sexual things to breasts.",Acceptable speech,0,"And if people say how god intended us to only have sex with men and women as your preferance , Why are breasts used in the use of sex ? They where primeraly designed for feading the babies , not sex . So do n't go on about ' God ' making marriage or sex only for Men and Women , Because it s the same argument that would ensued years ago whilst people where doing sexual things to breasts .","and if people say how god intend we to only have sex with man and woman as you preferance , why be breast use in the use of sex ? they where primeraly design for fead the baby , not sex . so do not go on about ' God ' make marriage or sex only for Men and Women , because it be the same argument that would ensue year ago whilst people where do sexual thing to breast .",CCONJ SCONJ NOUN VERB ADV PROPN VERB PRON PART ADV VERB NOUN ADP NOUN CCONJ NOUN ADP PRON NOUN PUNCT ADV AUX NOUN VERB ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV VERB SCONJ VERB DET NOUN PUNCT ADV NOUN PUNCT ADV AUX PART VERB ADV ADP PUNCT PROPN PUNCT VERB NOUN CCONJ NOUN ADV ADP NOUN CCONJ NOUN PUNCT SCONJ PRON AUX DET ADJ NOUN PRON AUX VERB NOUN ADV SCONJ NOUN ADV VERB ADJ NOUN ADP NOUN PUNCT
1317,another useless topic by daily mail.,Other offensive,1,another useless topic by daily mail .,another useless topic by daily mail .,DET ADJ NOUN ADP ADJ NOUN PUNCT
1393,"Stop talking about God and the Bible, you backward morons. No one wants to hear what your 2000 year old book has to say.",Other offensive,1,"Stop talking about God and the Bible , you backward morons . No one wants to hear what your 2000 year old book has to say .","stop talk about God and the Bible , you backward moron . no one want to hear what you 2000 year old book have to say .",VERB VERB ADP PROPN CCONJ DET PROPN PUNCT PRON ADJ NOUN PUNCT DET NOUN VERB PART VERB PRON PRON NUM NOUN ADJ NOUN VERB PART VERB PUNCT
1401,I now pronounce you man and man! :D,Acceptable speech,0,I now pronounce you man and man ! :D,I now pronounce you man and man ! :d,PRON ADV VERB PRON NOUN CCONJ NOUN PUNCT SYM
1472,"What is it they say? 
""Up the bum, no harm done"".
Dirty b'stards!",Background offensive,1,"What is it they say ?  "" Up the bum , no harm done "" . Dirty b'stards !","what be it they say ?  "" up the bum , no harm do "" . Dirty b'stard !",PRON AUX PRON PRON VERB PUNCT PUNCT ADP DET NOUN PUNCT DET NOUN VERB PUNCT PUNCT ADJ NOUN PUNCT
1489,It's 2011.,Acceptable speech,0,It 's 2011 .,it be 2011 .,PRON AUX NUM PUNCT
1682,"Men and women get married. If men and men or women and women want to be together, then call it something else. ",Background offensive,1,"Men and women get married . If men and men or women and women want to be together , then call it something else .","Men and woman get marry . if man and man or woman and woman want to be together , then call it something else .",NOUN CCONJ NOUN AUX VERB PUNCT SCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN VERB PART AUX ADV PUNCT ADV VERB PRON PRON ADJ PUNCT
1796,"> Alan Slater Men and women get married. If men and men or women and women want to be together, then call it something else.

Let's call same-sex unions ULTRAMARRIAGE! That'll make it easier to tell them apart.

Snerk aside, Alan, what exactly gives you the authority to tell, say, the Quakers how to define marriage? And exactly what punishment should be meted - and to whom - in cases where they refuse to bow down to your dictats?",Acceptable speech,0,"> Alan Slater Men and women get married . If men and men or women and women want to be together , then call it something else . Let 's call same - sex unions ULTRAMARRIAGE ! That 'll make it easier to tell them apart . Snerk aside , Alan , what exactly gives you the authority to tell , say , the Quakers how to define marriage ? And exactly what punishment should be meted - and to whom - in cases where they refuse to bow down to your dictats ?","> Alan slater Men and woman get marry . if man and man or woman and woman want to be together , then call it something else . let 's call same - sex union ultramarriage ! that will make it easier to tell they apart . Snerk aside , Alan , what exactly give you the authority to tell , say , the quaker how to define marriage ? and exactly what punishment should be mete - and to whom - in case where they refuse to bow down to you dictat ?",PUNCT PROPN PROPN NOUN CCONJ NOUN AUX VERB PUNCT SCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN VERB PART AUX ADV PUNCT ADV VERB PRON PRON ADJ PUNCT VERB PRON VERB ADJ PUNCT NOUN NOUN ADV PUNCT PRON AUX VERB PRON ADJ PART VERB PRON ADV PUNCT PROPN ADV PUNCT PROPN PUNCT PRON ADV VERB PRON DET NOUN PART VERB PUNCT VERB PUNCT DET PROPN ADV PART VERB NOUN PUNCT CCONJ ADV DET NOUN AUX AUX VERB PUNCT CCONJ ADP DET PUNCT ADP NOUN ADV PRON VERB PART VERB ADP ADP PRON NOUN PUNCT
